precos,Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Câmbio,Direção,Cor,Portas,Final de placa,Possui Kit GNV,Tipo de direção
249.900,"Carros, Vans E Utilitários",Ford Limited 3.2 20v 4x4 Cd Aut. Dies.,Ford,Pick-up,2017,188071,3.0 - 3.9,Diesel,Automático,Elétrica,Laranja,4 Portas,,Não,Elétrica
151.900,"Carros, Vans E Utilitários",Ford Xlt 3.2 20v 4x4 Cd Diesel Aut.,Ford,Pick-up,2020,127000,3.0 - 3.9,Diesel,Automático,Elétrica,Outra,4 Portas,4,Não,Elétrica
55.000,"Carros, Vans E Utilitários",Ford Freestyle 1.6 16v Flex 5p,Ford,Suv,2015,99000,1.6,,Manual,Elétrica,Branco,4 Portas,,Não,Elétrica
18.500,"Carros, Vans E Utilitários",Peugeot Sw Xr Sport 1.4 Flex 8v 5p,Peugeot,,2011,86000,,Flex,Manual,Hidráulica,Cinza,4 Portas,,Não,Hidráulica
13.500,"Carros, Vans E Utilitários",Renault Campus Hi-flex 1.0 16v 5p,Renault,Hatch,2010,50000,1.0,Flex,Manual,Mecânica,Prata,4 Portas,,Não,Mecânica
10.000,"Carros, Vans E Utilitários",Fiat Furgão 1.5 Mpi / I.e.,Fiat,Van/utilitário,1993,56974,1.5,álcool,Manual,Mecânica,Branco,2 Portas,,Não,Mecânica
34.800,"Carros, Vans E Utilitários",Fiat Attractive 1.0 Evo Fire Flex 8v 5p,Fiat,Hatch,2017,184000,1.0,Flex,Manual,Elétrica,Cinza,4 Portas,9,Não,Elétrica
215.900,"Carros, Vans E Utilitários",Mercedes-benz Cgi Avantgarde 2.0 Tb 211cv Aut.,Mercedes-benz,Sedã,2018,46000,2.0 - 2.9,Gasolina,Automático,Elétrica,Prata,4 Portas,,Não,Elétrica
35.000,"Carros, Vans E Utilitários",Fiat Attractive 1.0 Evo Fire Flex 8v 5p,Fiat,Hatch,2017,150000,1.0,Flex,Manual,Elétrica,Branco,4 Portas,7,Não,Elétrica
179.990,"Carros, Vans E Utilitários",Chevrolet Ss 6.2 V8 16v,Chevrolet,Coupé,2011,92000,4.0 Ou Mais,Gasolina,Automático,Hidráulica,Vermelho,2 Portas,,Não,Hidráulica
50.000,"Carros, Vans E Utilitários",Volkswagen Trendline 1.6 T.flex 8v 4p,Volkswagen,Sedã,2018,94162,1.6,Flex,Manual,Hidráulica,Cinza,4 Portas,9,Não,Hidráulica
129.000,"Carros, Vans E Utilitários",Jeep Limited 2.0 4x4 Diesel 16v Aut.,Jeep,Suv,2021,65000,2.0 - 2.9,Diesel,Automático,Elétrica,Prata,,1,Não,Elétrica
